zpid,lastSoldPrice_hpi_adjusted,log_price,description,bedrooms,bathrooms,livingArea,yearBuilt,latitude,longitude,lotAreaValue,photoCount,taxAssessedValue,propertyTaxRate,homeType,zipcode,latest_tax_value,latest_tax_paid,num_tax_records,num_sales,num_price_changes,last_listing_price,avg_school_rating,max_school_rating,num_nearby_schools,min_school_distance,has_hoa,hoa_fee_monthly,has_pool,has_garage,has_waterfront,tag_price_cut,tag_new_construction,tag_foreclosure,property_age,bath_to_bed_ratio,log_living_area,log_lot_area,zip_3digit,desc_length,desc_word_count,desc_is_boilerplate,desc_mentions_renovated,desc_mentions_pool,desc_mentions_view,desc_mentions_new
1011541,255691.21098843784,12.451729699291803,"This 665 square foot condo home has 1 bedrooms and 1.0 bathrooms. This home is located at 511 Lucerne Ave APT 314, Lake Worth, FL 33460.",1.0,1.0,665.0,2006.0,26.616192,-80.05406,1.0,1,103099.0,1.74,CONDO,33460,103099.0,1446.0,18.0,1.0,0.0,,3.6666666666666665,5.0,3.0,0.7,1.0,352.0,0,0,0,0,0,0,19.0,1.0,6.501289670540389,0.6931471805599453,334,136,26,1,0,0,0,0
1005445,687261.3626216626,13.440471394402133,"This 1030 square foot condo home has 2 bedrooms and 2.0 bathrooms. This home is located at 7601 E Treasure Dr APT 1603, North Bay Village, FL 33141.",2.0,2.0,1030.0,1987.0,25.847658,-80.14571,,1,201061.0,1.84,CONDO,33141,201061.0,3365.62,20.0,2.0,5.0,495000.0,3.6666666666666665,4.0,3.0,0.1,1.0,548.0,0,0,0,0,0,0,38.0,1.0,6.93828448401696,,331,148,28,1,0,0,0,0
1002822,264917.2981878089,12.487176748706204,"This 980 square foot condo home has 2 bedrooms and 2.0 bathrooms. This home is located at 750 SE 6th Ave APT 232, Deerfield Beach, FL 33441.",2.0,2.0,980.0,1974.0,26.3077,-80.09503,,1,50750.0,1.98,CONDO,33441,50750.0,856.62,17.0,3.0,0.0,,3.6666666666666665,4.0,3.0,0.2,1.0,341.0,0,0,0,0,0,0,51.0,1.0,6.888572459565364,,334,140,27,1,0,0,0,0
1006212,861474.5639304821,13.66640196998659,"This 1237 square foot condo home has 2 bedrooms and 2.0 bathrooms. This home is located at 4001 S Ocean Dr 16j #16J, Hollywood, FL 33019.",2.0,2.0,1237.0,1970.0,25.987293,-80.118614,1237.0,1,,1.98,CONDO,33019,,,0.0,2.0,10.0,410000.0,4.666666666666667,8.0,3.0,2.0,1.0,768.0,0,0,0,0,0,0,55.0,1.0,7.121252453244542,7.121252453244542,330,137,26,1,0,0,0,0
1007959,314224.7471248441,12.657866946464948,"This 978 square foot single family home has 3 bedrooms and 2.0 bathrooms. This home is located at 6462 Lawrence Rd, Lake Worth, FL 33462.",3.0,2.0,978.0,1961.0,26.58045,-80.10488,6882.0,1,254585.0,1.74,SINGLE_FAMILY,33462,254585.0,5045.0,26.0,4.0,0.0,,3.333333333333333,4.0,3.0,0.3,0.0,0.0,0,0,0,0,0,0,64.0,0.6666666666666666,6.88653164253051,8.836809882398365,334,137,25,1,0,0,0,0
1011023,177826.4822279672,12.088569158328797,"Great unit for a great price! Perfect starter home or investment. This villa has it all. Spacious bedrooms, split layout, washer and dryer inside, and a great enclosed patio. Special for pets, or a children's playground.",2.0,2.0,864.0,1984.0,26.552902,-80.057396,,9,100022.0,1.74,CONDO,33435,100022.0,2513.0,26.0,6.0,3.0,1800.0,3.0,4.0,3.0,0.3,1.0,380.0,0,0,0,0,0,0,41.0,1.0,6.762729506931879,,334,220,36,0,0,0,0,0
1014874,891133.6248991551,13.700250789202286,Great Foreclosure in a Great Location,3.0,1.0,1679.0,1946.0,25.757805,-80.24456,4879.0,6,145211.0,1.84,SINGLE_FAMILY,33145,145211.0,5762.77,22.0,4.0,0.0,166000.0,4.333333333333333,6.0,3.0,0.7,1.0,232.0,0,0,0,0,0,0,79.0,0.3333333333333333,7.426549072397305,8.492900498847193,331,37,6,0,0,0,0,0
1002671,410440.614030492,12.924988966407971,"This 1446 square foot single family home has 3 bedrooms and 2.0 bathrooms. This home is located at 1707 16th Ave N, Lake Worth, FL 33460.",3.0,2.0,1446.0,1960.0,26.634605,-80.06496,7492.0,1,88621.0,1.74,SINGLE_FAMILY,33460,88621.0,1595.0,26.0,1.0,0.0,,3.6666666666666665,5.0,3.0,0.4,0.0,0.0,0,0,0,0,0,0,65.0,0.6666666666666666,7.277247726631484,8.92172453036431,334,137,26,1,0,0,0,0
1002323,553931.9559928833,13.224798940342756,EXCELLENT INVESTMENT--NOT SHORT SALE-NOT REO- GREAT MONTHLY INCOME-SEPARATE WATER & ELECTRIC METERS-DO NOT DISTURB TENANTS-CALL L.A.FOR APPOINTMENTS Brokered And Advertised By: Real Living First Service Rlty Listing Agent: Irma Menendez,5.0,5.0,2719.0,1980.0,25.577152,-80.34184,2613.0,2,328112.0,1.84,SINGLE_FAMILY,33189,328112.0,8513.76,19.0,4.0,0.0,195000.0,5.333333333333333,7.0,3.0,0.5,0.0,0.0,0,0,0,0,0,0,45.0,1.0,7.908387159290043,7.868636894184167,331,236,30,0,0,0,0,0
1009937,345550.92291898007,12.752898194310829,"This 1200 square foot apartment home has 2 bedrooms and 2.0 bathrooms. This home is located at 423 Pine Tree Ct APT 24, Atlantis, FL 33462.",2.0,2.0,1200.0,1977.0,26.5888,-80.10427,2.262098255280073,57,182470.0,1.74,APARTMENT,33462,182470.0,3991.0,20.0,4.0,8.0,2400.0,3.333333333333333,4.0,3.0,0.6,1.0,300.0,0,0,0,0,0,0,48.0,1.0,7.090909822079984,1.1823706249224029,334,139,26,1,0,0,0,0
